rank,feature,mean_absolute_coefficient,max_absolute_coefficient,fold_count
352,bwd_iat_max_max,0.014288715715725833,0.0425024782279337,37
353,bwd_header_len_min,0.011156762750903241,0.0180518179336538,37
354,bwd_blk_rate_avg_max,0.0,0.0,37
355,bwd_blk_rate_avg_mean,0.0,0.0,37
356,bwd_blk_rate_avg_min,0.0,0.0,37
357,bwd_blk_rate_avg_std,0.0,0.0,37
358,bwd_blk_rate_avg_sum,0.0,0.0,37
359,bwd_byts_b_avg_max,0.0,0.0,37
360,bwd_byts_b_avg_mean,0.0,0.0,37
361,bwd_byts_b_avg_min,0.0,0.0,37
362,bwd_byts_b_avg_std,0.0,0.0,37
363,bwd_byts_b_avg_sum,0.0,0.0,37
364,bwd_pkt_len_min_min,0.0,0.0,37
365,bwd_pkts_b_avg_max,0.0,0.0,37
366,bwd_pkts_b_avg_mean,0.0,0.0,37
367,bwd_pkts_b_avg_min,0.0,0.0,37
368,bwd_pkts_b_avg_std,0.0,0.0,37
369,bwd_pkts_b_avg_sum,0.0,0.0,37
370,bwd_psh_flags_max,0.0,0.0,37
371,bwd_psh_flags_mean,0.0,0.0,37
372,bwd_psh_flags_min,0.0,0.0,37
373,bwd_psh_flags_std,0.0,0.0,37
374,bwd_psh_flags_sum,0.0,0.0,37
375,bwd_urg_flags_max,0.0,0.0,37
376,bwd_urg_flags_mean,0.0,0.0,37
377,bwd_urg_flags_min,0.0,0.0,37
378,bwd_urg_flags_std,0.0,0.0,37
379,bwd_urg_flags_sum,0.0,0.0,37
380,cwe_flag_cnt_min,0.0,0.0,37
381,ece_flag_cnt_min,0.0,0.0,37
382,fin_flag_cnt_min,0.0,0.0,37
383,fwd_blk_rate_avg_max,0.0,0.0,37
384,fwd_blk_rate_avg_mean,0.0,0.0,37
385,fwd_blk_rate_avg_min,0.0,0.0,37
386,fwd_blk_rate_avg_std,0.0,0.0,37
387,fwd_blk_rate_avg_sum,0.0,0.0,37
388,fwd_byts_b_avg_max,0.0,0.0,37
389,fwd_byts_b_avg_mean,0.0,0.0,37
390,fwd_byts_b_avg_min,0.0,0.0,37
391,fwd_byts_b_avg_std,0.0,0.0,37
392,fwd_byts_b_avg_sum,0.0,0.0,37
393,fwd_pkts_b_avg_max,0.0,0.0,37
394,fwd_pkts_b_avg_mean,0.0,0.0,37
395,fwd_pkts_b_avg_min,0.0,0.0,37
396,fwd_pkts_b_avg_std,0.0,0.0,37
397,fwd_pkts_b_avg_sum,0.0,0.0,37
398,fwd_urg_flags_min,0.0,0.0,37
399,mask_has_flow_timing_features,0.0,0.0,37
400,mask_has_graph_topology,0.0,0.0,37
401,mask_has_identity_auth,0.0,0.0,37
402,mask_has_tcp_flags,0.0,0.0,37
403,mask_has_traffic_volume_features,0.0,0.0,37
404,pkt_frag_mf_count,0.0,0.0,37
405,rst_flag_cnt_min,0.0,0.0,37
406,urg_flag_cnt_min,0.0,0.0,37
